produto;marca_raw;estado;familia_v2;sku_v2;confianca;metodo;motivo;candidatos;atributos
Ar Condicionado Agratto 12.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-12000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 12000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Neo 12.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-12000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 12000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto One Top 12.000 BTUs On/Off Frio;Agratto;MAPEADO;AGRATTO-12000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 12000, ""ciclo"": ""Frio"", ""tecnologia"": ""On/Off"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Zen Top 12.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-12000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 12000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto 12.000 BTUs Inverter Quente/Frio;Agratto;MAPEADO;AGRATTO-12000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 12000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Zen Top 12.000 BTUs Inverter Quente/Frio;Agratto;MAPEADO;AGRATTO-12000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 12000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Inverter Quente e Frio 12000 btus Split ZEN ZICST12QF02 Agratto 220V;Agratto;MAPEADO;AGRATTO-12000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 12000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": ""220V"", ""cor"": null, ""form_factor"": ""HW"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto 18.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-18000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 18000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Fit Top 18.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-18000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 18000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Neo 18.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-18000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 18000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto One Top 18.000 BTUs On/Off Frio;Agratto;MAPEADO;AGRATTO-18000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 18000, ""ciclo"": ""Frio"", ""tecnologia"": ""On/Off"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto Zen Top 18.000 BTUs Inverter Frio;Agratto;MAPEADO;AGRATTO-18000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 18000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Agratto 18.000 BTUs Inverter Quente/Frio;Agratto;MAPEADO;AGRATTO-18000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": null, ""capacidade_btu"": 18000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
